seed: 42, epochs: 300, algorithm: FedAvg, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, num_clients: 100, batch_size: 32, learning_rate: 0.01, model: simplecnn, dataset: MNIST, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, gpu_idx: [0], num_workers: 0, record_time: False, num_adv: 200, attack: DMRCA, defense: Krum, attack_params: None, defense_params: {'enable_check': False}, benchmark: False, local_epochs: 1, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:0, output: ./logs/FedAvg/MNIST_simplecnn/iid/MNIST_simplecnn_iid_DMRCA_Krum_300_100_0.01_FedAvg.txt

Started on Mon Dec 15 20:46:54 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  		Train Acc: 0.1191	Train loss: 0.0720	Cos: nan	Test Acc: 0.1476	Test loss: 0.0719
Epoch 1  		Train Acc: 0.1363	Train loss: 0.0718	Cos: 1.000	Test Acc: 0.1934	Test loss: 0.0715
Epoch 2  		Train Acc: 0.1903	Train loss: 0.0714	Cos: 1.000	Test Acc: 0.2064	Test loss: 0.0710
Epoch 3  		Train Acc: 0.2056	Train loss: 0.0709	Cos: 1.000	Test Acc: 0.2528	Test loss: 0.0704
Epoch 4  		Train Acc: 0.2478	Train loss: 0.0703	Cos: 1.000	Test Acc: 0.3596	Test loss: 0.0698
Epoch 5  		Train Acc: 0.3581	Train loss: 0.0698	Cos: 1.000	Test Acc: 0.3837	Test loss: 0.0692
Epoch 6  		Train Acc: 0.3753	Train loss: 0.0691	Cos: 1.000	Test Acc: 0.3373	Test loss: 0.0685
Epoch 7  		Train Acc: 0.3503	Train loss: 0.0681	Cos: 1.000	Test Acc: 0.3094	Test loss: 0.0677
Epoch 8  		Train Acc: 0.3153	Train loss: 0.0676	Cos: 1.000	Test Acc: 0.2791	Test loss: 0.0669
Epoch 9  		Train Acc: 0.2791	Train loss: 0.0669	Cos: 1.000	Test Acc: 0.2892	Test loss: 0.0660
Epoch 10 		Train Acc: 0.2809	Train loss: 0.0662	Cos: -0.366	Test Acc: 0.1433	Test loss: 0.0723
Epoch 11 		Train Acc: 0.1450	Train loss: 0.0722	Cos: 0.894	Test Acc: 0.0892	Test loss: 0.0736
Epoch 12 		Train Acc: 0.0878	Train loss: 0.0736	Cos: 0.975	Test Acc: 0.0892	Test loss: 0.0731
Epoch 13 		Train Acc: 0.0909	Train loss: 0.0728	Cos: 0.994	Test Acc: 0.0892	Test loss: 0.0731
Epoch 14 		Train Acc: 0.0884	Train loss: 0.0732	Cos: 0.998	Test Acc: 0.0892	Test loss: 0.0731
Epoch 15 		Train Acc: 0.0884	Train loss: 0.0729	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0731
Epoch 16 		Train Acc: 0.0887	Train loss: 0.0730	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0731
Epoch 17 		Train Acc: 0.0906	Train loss: 0.0732	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0731
Epoch 18 		Train Acc: 0.0840	Train loss: 0.0996	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0731
Epoch 19 		Train Acc: 0.0878	Train loss: 0.0732	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0731
Epoch 20 		Train Acc: 0.0916	Train loss: 0.0730	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0731
Epoch 21 		Train Acc: 0.0881	Train loss: 0.0730	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0731
Epoch 22 		Train Acc: 0.0900	Train loss: 0.0731	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0731
Epoch 23 		Train Acc: 0.0813	Train loss: 0.0731	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0732
Epoch 24 		Train Acc: 0.0922	Train loss: 0.0730	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0731
Epoch 25 		Train Acc: 0.0881	Train loss: 0.0729	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0731
Epoch 26 		Train Acc: 0.0925	Train loss: 0.0732	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0731
Epoch 27 		Train Acc: 0.0797	Train loss: 0.0731	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0731
Epoch 28 		Train Acc: 0.0906	Train loss: 0.0732	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0731
Epoch 29 		Train Acc: 0.0944	Train loss: 0.0730	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0732
Epoch 30 		Train Acc: 0.0928	Train loss: 0.0732	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0732
Epoch 31 		Train Acc: 0.0925	Train loss: 0.0731	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0732
Epoch 32 		Train Acc: 0.0909	Train loss: 0.0729	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0732
Epoch 33 		Train Acc: 0.0909	Train loss: 0.0732	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0732
Epoch 34 		Train Acc: 0.0959	Train loss: 0.0729	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0731
Epoch 35 		Train Acc: 0.0972	Train loss: 0.0729	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0732
Epoch 36 		Train Acc: 0.0878	Train loss: 0.0732	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0731
Epoch 37 		Train Acc: 0.0929	Train loss: 0.0998	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0731
Epoch 38 		Train Acc: 0.0884	Train loss: 0.0729	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0731
Epoch 39 		Train Acc: 0.0963	Train loss: 0.0728	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0731
Epoch 40 		Train Acc: 0.0972	Train loss: 0.0729	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0731
Epoch 41 		Train Acc: 0.0831	Train loss: 0.0731	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0731
Epoch 42 		Train Acc: 0.0997	Train loss: 0.0731	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0731
Epoch 43 		Train Acc: 0.0956	Train loss: 0.0729	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0731
Epoch 44 		Train Acc: 0.0825	Train loss: 0.0732	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0732
Epoch 45 		Train Acc: 0.0819	Train loss: 0.0733	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0732
Epoch 46 		Train Acc: 0.0869	Train loss: 0.0733	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0732
Epoch 47 		Train Acc: 0.0903	Train loss: 0.0730	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0732
Epoch 48 		Train Acc: 0.0884	Train loss: 0.0732	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0731
Epoch 49 		Train Acc: 0.0909	Train loss: 0.0730	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0732
Epoch 50 		Train Acc: 0.0950	Train loss: 0.0730	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0731
Epoch 51 		Train Acc: 0.0897	Train loss: 0.0730	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0731
Epoch 52 		Train Acc: 0.0938	Train loss: 0.0730	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0730
Epoch 53 		Train Acc: 0.0922	Train loss: 0.0728	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0731
Epoch 54 		Train Acc: 0.0941	Train loss: 0.0729	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0730
Epoch 55 		Train Acc: 0.0853	Train loss: 0.0731	Cos: 1.000	Test Acc: 0.0892	Test loss: 0.0730
