seed: 42, epochs: 2000, algorithm: FedAvg, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, num_clients: 100, batch_size: 32, learning_rate: 0.01, model: simplecnn, dataset: MNIST, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, gpu_idx: [1], num_workers: 0, record_time: False, num_adv: 40, attack: DMRCA, defense: MeanNorm, attack_params: None, defense_params: None, benchmark: False, local_epochs: 1, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:1, output: ./logs/FedAvg/MNIST_simplecnn/iid/MNIST_simplecnn_iid_DMRCA_MeanNorm_2000_100_0.01_FedAvg.txt

Started on Tue Dec 16 00:08:40 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  		Train Acc: 0.1191	Train loss: 0.0720	Cos: nan	Test Acc: 0.1533	Test loss: 0.0719
Epoch 1  		Train Acc: 0.1388	Train loss: 0.0718	Cos: 1.000	Test Acc: 0.1901	Test loss: 0.0716
Epoch 2  		Train Acc: 0.1791	Train loss: 0.0715	Cos: 1.000	Test Acc: 0.2260	Test loss: 0.0711
Epoch 3  		Train Acc: 0.2209	Train loss: 0.0709	Cos: 1.000	Test Acc: 0.2559	Test loss: 0.0705
Epoch 4  		Train Acc: 0.2534	Train loss: 0.0704	Cos: 1.000	Test Acc: 0.2777	Test loss: 0.0699
Epoch 5  		Train Acc: 0.2734	Train loss: 0.0698	Cos: 1.000	Test Acc: 0.3006	Test loss: 0.0692
Epoch 6  		Train Acc: 0.2959	Train loss: 0.0691	Cos: 1.000	Test Acc: 0.3265	Test loss: 0.0684
Epoch 7  		Train Acc: 0.3244	Train loss: 0.0682	Cos: 1.000	Test Acc: 0.3537	Test loss: 0.0676
Epoch 8  		Train Acc: 0.3581	Train loss: 0.0675	Cos: 1.000	Test Acc: 0.3932	Test loss: 0.0666
Epoch 9  		Train Acc: 0.3819	Train loss: 0.0666	Cos: 1.000	Test Acc: 0.4307	Test loss: 0.0655
Epoch 10 		Train Acc: 0.4178	Train loss: 0.0656	Cos: 0.776	Test Acc: 0.0892	Test loss: 0.0726
Epoch 11 		Train Acc: 0.0900	Train loss: 0.0725	Cos: 0.885	Test Acc: 0.0892	Test loss: 0.0722
Epoch 12 		Train Acc: 0.0878	Train loss: 0.0721	Cos: 0.965	Test Acc: 0.0864	Test loss: 0.0721
Epoch 13 		Train Acc: 0.0862	Train loss: 0.0720	Cos: 0.993	Test Acc: 0.0980	Test loss: 0.0721
Epoch 14 		Train Acc: 0.1006	Train loss: 0.0720	Cos: 0.999	Test Acc: 0.0980	Test loss: 0.0721
Epoch 15 		Train Acc: 0.0997	Train loss: 0.0720	Cos: 1.000	Test Acc: 0.0980	Test loss: 0.0721
Epoch 16 		Train Acc: 0.0969	Train loss: 0.0720	Cos: 1.000	Test Acc: 0.0980	Test loss: 0.0721
Epoch 17 		Train Acc: 0.1013	Train loss: 0.0720	Cos: 1.000	Test Acc: 0.0980	Test loss: 0.0721
Epoch 18 		Train Acc: 0.1079	Train loss: 0.0985	Cos: 1.000	Test Acc: 0.0980	Test loss: 0.0721
Epoch 19 		Train Acc: 0.1047	Train loss: 0.0720	Cos: 1.000	Test Acc: 0.0980	Test loss: 0.0721
Epoch 20 		Train Acc: 0.1006	Train loss: 0.0720	Cos: 1.000	Test Acc: 0.0980	Test loss: 0.0721
