seed: 42, epochs: 300, algorithm: FedAvg, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, num_clients: 100, batch_size: 32, learning_rate: 0.01, model: simplecnn, dataset: MNIST, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, gpu_idx: [1], num_workers: 0, record_time: False, num_adv: 20, attack: DMRCA, defense: MeanNorm, attack_params: None, defense_params: None, benchmark: False, local_epochs: 3, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:1, output: ./logs/FedAvg/MNIST_simplecnn/iid/MNIST_simplecnn_iid_DMRCA_MeanNorm_300_100_0.01_FedAvg.txt

Started on Mon Dec 15 15:14:52 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  		Train Acc: 0.1359	Train loss: 0.0718	Cos: nan	Test Acc: 0.2261	Test loss: 0.0711
Epoch 1  		Train Acc: 0.2373	Train loss: 0.0705	Cos: 1.000	Test Acc: 0.3027	Test loss: 0.0692
Epoch 2  		Train Acc: 0.3180	Train loss: 0.0685	Cos: 1.000	Test Acc: 0.3928	Test loss: 0.0667
Epoch 3  		Train Acc: 0.3980	Train loss: 0.0658	Cos: 1.000	Test Acc: 0.4950	Test loss: 0.0629
Epoch 4  		Train Acc: 0.4901	Train loss: 0.0616	Cos: 1.000	Test Acc: 0.5896	Test loss: 0.0571
Epoch 5  		Train Acc: 0.5649	Train loss: 0.0553	Cos: 1.000	Test Acc: 0.6550	Test loss: 0.0488
Epoch 6  		Train Acc: 0.6283	Train loss: 0.0525	Cos: 1.000	Test Acc: 0.7308	Test loss: 0.0383
Epoch 7  		Train Acc: 0.6892	Train loss: 0.0368	Cos: 0.999	Test Acc: 0.7828	Test loss: 0.0283
Epoch 8  		Train Acc: 0.7195	Train loss: 0.0294	Cos: 0.999	Test Acc: 0.7915	Test loss: 0.0215
Epoch 9  		Train Acc: 0.7231	Train loss: 0.0267	Cos: 1.000	Test Acc: 0.8234	Test loss: 0.0179
Epoch 10 		Train Acc: 0.7270	Train loss: 0.0272	Cos: 0.977	Test Acc: 0.1990	Test loss: 0.0716
Epoch 11 		Train Acc: 0.2279	Train loss: 0.0714	Cos: 0.974	Test Acc: 0.0579	Test loss: 0.0721
Epoch 12 		Train Acc: 0.0821	Train loss: 0.0808	Cos: 0.974	Test Acc: 0.0980	Test loss: 0.0721
Epoch 13 		Train Acc: 0.1020	Train loss: 0.0720	Cos: 0.975	Test Acc: 0.0980	Test loss: 0.0721
Epoch 14 		Train Acc: 0.0973	Train loss: 0.0720	Cos: 0.978	Test Acc: 0.0980	Test loss: 0.0721
Epoch 15 		Train Acc: 0.1014	Train loss: 0.0719	Cos: 0.983	Test Acc: 0.0980	Test loss: 0.0721
Epoch 16 		Train Acc: 0.0969	Train loss: 0.0719	Cos: 0.988	Test Acc: 0.0980	Test loss: 0.0721
Epoch 17 		Train Acc: 0.0977	Train loss: 0.0720	Cos: 0.993	Test Acc: 0.0980	Test loss: 0.0721
Epoch 18 		Train Acc: 0.0990	Train loss: 0.0808	Cos: 0.996	Test Acc: 0.0980	Test loss: 0.0720
Epoch 19 		Train Acc: 0.0933	Train loss: 0.0719	Cos: 0.998	Test Acc: 0.0980	Test loss: 0.0720
Epoch 20 		Train Acc: 0.0976	Train loss: 0.0719	Cos: 0.999	Test Acc: 0.0980	Test loss: 0.0720
Epoch 21 		Train Acc: 0.1008	Train loss: 0.0719	Cos: 0.999	Test Acc: 0.0980	Test loss: 0.0720
Epoch 22 		Train Acc: 0.1019	Train loss: 0.0719	Cos: 1.000	Test Acc: 0.0980	Test loss: 0.0720
Epoch 23 		Train Acc: 0.0990	Train loss: 0.0719	Cos: 1.000	Test Acc: 0.0980	Test loss: 0.0720
Epoch 24 		Train Acc: 0.1002	Train loss: 0.0719	Cos: 1.000	Test Acc: 0.0980	Test loss: 0.0720
Epoch 25 		Train Acc: 0.0976	Train loss: 0.0807	Cos: 1.000	Test Acc: 0.0980	Test loss: 0.0720
Epoch 26 		Train Acc: 0.1008	Train loss: 0.0719	Cos: 1.000	Test Acc: 0.0980	Test loss: 0.0720
Epoch 27 		Train Acc: 0.1020	Train loss: 0.0719	Cos: 1.000	Test Acc: 0.0980	Test loss: 0.0720
Epoch 28 		Train Acc: 0.0996	Train loss: 0.0719	Cos: 1.000	Test Acc: 0.0980	Test loss: 0.0720
Epoch 29 		Train Acc: 0.0972	Train loss: 0.0719	Cos: 1.000	Test Acc: 0.0980	Test loss: 0.0720
Epoch 30 		Train Acc: 0.0960	Train loss: 0.0719	Cos: 1.000	Test Acc: 0.0980	Test loss: 0.0720
Epoch 31 		Train Acc: 0.0974	Train loss: 0.0807	Cos: 1.000	Test Acc: 0.0980	Test loss: 0.0720
Epoch 32 		Train Acc: 0.0961	Train loss: 0.0719	Cos: 1.000	Test Acc: 0.0980	Test loss: 0.0720
Epoch 33 		Train Acc: 0.0980	Train loss: 0.0719	Cos: 1.000	Test Acc: 0.0980	Test loss: 0.0720
Epoch 34 		Train Acc: 0.0960	Train loss: 0.0719	Cos: 1.000	Test Acc: 0.0980	Test loss: 0.0720
Epoch 35 		Train Acc: 0.1014	Train loss: 0.0719	Cos: 1.000	Test Acc: 0.0980	Test loss: 0.0720
Epoch 36 		Train Acc: 0.0998	Train loss: 0.0719	Cos: 1.000	Test Acc: 0.0980	Test loss: 0.0720
Epoch 37 		Train Acc: 0.1020	Train loss: 0.0807	Cos: 1.000	Test Acc: 0.0980	Test loss: 0.0720
