seed: 42, epochs: 300, algorithm: FedAvg, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, num_clients: 100, batch_size: 32, learning_rate: 0.01, model: simplecnn, dataset: MNIST, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, gpu_idx: [1], num_workers: 0, record_time: False, num_adv: 20, attack: NoAttack, defense: MeanNorm, attack_params: None, defense_params: None, benchmark: False, local_epochs: 3, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:1, output: ./logs/FedAvg/MNIST_simplecnn/iid/MNIST_simplecnn_iid_NoAttack_MeanNorm_300_100_0.01_FedAvg.txt

Started on Mon Dec 15 15:14:53 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  		Train Acc: 0.1359	Train loss: 0.0718	Cos: nan	Test Acc: 0.2261	Test loss: 0.0711
Epoch 1  		Train Acc: 0.2373	Train loss: 0.0705	Cos: 1.000	Test Acc: 0.3027	Test loss: 0.0692
Epoch 2  		Train Acc: 0.3180	Train loss: 0.0685	Cos: 1.000	Test Acc: 0.3928	Test loss: 0.0667
Epoch 3  		Train Acc: 0.3980	Train loss: 0.0658	Cos: 1.000	Test Acc: 0.4950	Test loss: 0.0629
Epoch 4  		Train Acc: 0.4901	Train loss: 0.0616	Cos: 1.000	Test Acc: 0.5896	Test loss: 0.0571
Epoch 5  		Train Acc: 0.5649	Train loss: 0.0553	Cos: 1.000	Test Acc: 0.6550	Test loss: 0.0488
Epoch 6  		Train Acc: 0.6284	Train loss: 0.0525	Cos: 1.000	Test Acc: 0.7308	Test loss: 0.0383
Epoch 7  		Train Acc: 0.6891	Train loss: 0.0368	Cos: 0.999	Test Acc: 0.7828	Test loss: 0.0283
Epoch 8  		Train Acc: 0.7195	Train loss: 0.0294	Cos: 0.999	Test Acc: 0.7915	Test loss: 0.0215
Epoch 9  		Train Acc: 0.7231	Train loss: 0.0267	Cos: 1.000	Test Acc: 0.8234	Test loss: 0.0179
Epoch 10 		Train Acc: 0.7271	Train loss: 0.0272	Cos: 1.000	Test Acc: 0.8383	Test loss: 0.0159
Epoch 11 		Train Acc: 0.7468	Train loss: 0.0257	Cos: 1.000	Test Acc: 0.8605	Test loss: 0.0147
Epoch 12 		Train Acc: 0.7806	Train loss: 0.0250	Cos: 1.000	Test Acc: 0.8699	Test loss: 0.0137
Epoch 13 		Train Acc: 0.8156	Train loss: 0.0188	Cos: 1.000	Test Acc: 0.8809	Test loss: 0.0133
Epoch 14 		Train Acc: 0.8432	Train loss: 0.0162	Cos: 1.000	Test Acc: 0.8921	Test loss: 0.0126
Epoch 15 		Train Acc: 0.8653	Train loss: 0.0146	Cos: 1.000	Test Acc: 0.8910	Test loss: 0.0120
Epoch 16 		Train Acc: 0.8707	Train loss: 0.0134	Cos: 1.000	Test Acc: 0.9015	Test loss: 0.0110
Epoch 17 		Train Acc: 0.8787	Train loss: 0.0127	Cos: 1.000	Test Acc: 0.9062	Test loss: 0.0103
Epoch 18 		Train Acc: 0.8862	Train loss: 0.0131	Cos: 1.000	Test Acc: 0.9078	Test loss: 0.0098
Epoch 19 		Train Acc: 0.8902	Train loss: 0.0113	Cos: 1.000	Test Acc: 0.9108	Test loss: 0.0093
Epoch 20 		Train Acc: 0.8956	Train loss: 0.0105	Cos: 1.000	Test Acc: 0.9147	Test loss: 0.0089
Epoch 21 		Train Acc: 0.8989	Train loss: 0.0103	Cos: 1.000	Test Acc: 0.9175	Test loss: 0.0086
Epoch 22 		Train Acc: 0.8977	Train loss: 0.0103	Cos: 1.000	Test Acc: 0.9208	Test loss: 0.0083
Epoch 23 		Train Acc: 0.8999	Train loss: 0.0098	Cos: 1.000	Test Acc: 0.9255	Test loss: 0.0080
Epoch 24 		Train Acc: 0.9110	Train loss: 0.0090	Cos: 1.000	Test Acc: 0.9271	Test loss: 0.0077
Epoch 25 		Train Acc: 0.9180	Train loss: 0.0095	Cos: 1.000	Test Acc: 0.9276	Test loss: 0.0075
Epoch 26 		Train Acc: 0.9146	Train loss: 0.0087	Cos: 1.000	Test Acc: 0.9310	Test loss: 0.0073
Epoch 27 		Train Acc: 0.9203	Train loss: 0.0082	Cos: 1.000	Test Acc: 0.9328	Test loss: 0.0071
Epoch 28 		Train Acc: 0.9234	Train loss: 0.0080	Cos: 1.000	Test Acc: 0.9342	Test loss: 0.0069
Epoch 29 		Train Acc: 0.9219	Train loss: 0.0080	Cos: 1.000	Test Acc: 0.9362	Test loss: 0.0067
Epoch 30 		Train Acc: 0.9247	Train loss: 0.0077	Cos: 1.000	Test Acc: 0.9383	Test loss: 0.0065
Epoch 31 		Train Acc: 0.9333	Train loss: 0.0081	Cos: 1.000	Test Acc: 0.9402	Test loss: 0.0064
Epoch 32 		Train Acc: 0.9345	Train loss: 0.0069	Cos: 1.000	Test Acc: 0.9410	Test loss: 0.0062
Epoch 33 		Train Acc: 0.9335	Train loss: 0.0068	Cos: 1.000	Test Acc: 0.9412	Test loss: 0.0062
Epoch 34 		Train Acc: 0.9281	Train loss: 0.0074	Cos: 1.000	Test Acc: 0.9444	Test loss: 0.0059
Epoch 35 		Train Acc: 0.9303	Train loss: 0.0068	Cos: 1.000	Test Acc: 0.9450	Test loss: 0.0058
Epoch 36 		Train Acc: 0.9349	Train loss: 0.0068	Cos: 1.000	Test Acc: 0.9469	Test loss: 0.0056
Epoch 37 		Train Acc: 0.9379	Train loss: 0.0075	Cos: 1.000	Test Acc: 0.9475	Test loss: 0.0055
