seed: 42, epochs: 300, algorithm: FedAvg, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, num_clients: 100, batch_size: 32, learning_rate: 0.01, model: simplecnn, dataset: MNIST, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, gpu_idx: [1], num_workers: 0, record_time: False, num_adv: 20, attack: NoAttack, defense: Median, attack_params: None, defense_params: None, benchmark: False, local_epochs: 3, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:1, output: ./logs/FedAvg/MNIST_simplecnn/iid/MNIST_simplecnn_iid_NoAttack_Median_300_100_0.01_FedAvg.txt

Started on Mon Dec 15 15:14:52 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  		Train Acc: 0.1359	Train loss: 0.0718	Cos: nan	Test Acc: 0.2275	Test loss: 0.0711
Epoch 1  		Train Acc: 0.2392	Train loss: 0.0705	Cos: 1.000	Test Acc: 0.3042	Test loss: 0.0692
Epoch 2  		Train Acc: 0.3197	Train loss: 0.0685	Cos: 1.000	Test Acc: 0.3922	Test loss: 0.0667
Epoch 3  		Train Acc: 0.3970	Train loss: 0.0658	Cos: 1.000	Test Acc: 0.4938	Test loss: 0.0629
Epoch 4  		Train Acc: 0.4886	Train loss: 0.0616	Cos: 1.000	Test Acc: 0.5857	Test loss: 0.0572
Epoch 5  		Train Acc: 0.5619	Train loss: 0.0554	Cos: 1.000	Test Acc: 0.6558	Test loss: 0.0490
Epoch 6  		Train Acc: 0.6283	Train loss: 0.0526	Cos: 1.000	Test Acc: 0.7265	Test loss: 0.0385
Epoch 7  		Train Acc: 0.6884	Train loss: 0.0369	Cos: 0.999	Test Acc: 0.7844	Test loss: 0.0283
Epoch 8  		Train Acc: 0.7217	Train loss: 0.0295	Cos: 0.999	Test Acc: 0.7945	Test loss: 0.0215
Epoch 9  		Train Acc: 0.7225	Train loss: 0.0268	Cos: 1.000	Test Acc: 0.8230	Test loss: 0.0179
Epoch 10 		Train Acc: 0.7240	Train loss: 0.0275	Cos: 1.000	Test Acc: 0.8408	Test loss: 0.0159
Epoch 11 		Train Acc: 0.7416	Train loss: 0.0260	Cos: 1.000	Test Acc: 0.8623	Test loss: 0.0145
Epoch 12 		Train Acc: 0.7802	Train loss: 0.0254	Cos: 1.000	Test Acc: 0.8725	Test loss: 0.0135
Epoch 13 		Train Acc: 0.8134	Train loss: 0.0189	Cos: 1.000	Test Acc: 0.8825	Test loss: 0.0130
Epoch 14 		Train Acc: 0.8414	Train loss: 0.0162	Cos: 1.000	Test Acc: 0.8916	Test loss: 0.0125
Epoch 15 		Train Acc: 0.8641	Train loss: 0.0145	Cos: 1.000	Test Acc: 0.8935	Test loss: 0.0119
Epoch 16 		Train Acc: 0.8724	Train loss: 0.0134	Cos: 1.000	Test Acc: 0.9021	Test loss: 0.0110
Epoch 17 		Train Acc: 0.8798	Train loss: 0.0127	Cos: 1.000	Test Acc: 0.9058	Test loss: 0.0103
Epoch 18 		Train Acc: 0.8877	Train loss: 0.0131	Cos: 1.000	Test Acc: 0.9079	Test loss: 0.0098
Epoch 19 		Train Acc: 0.8901	Train loss: 0.0112	Cos: 1.000	Test Acc: 0.9117	Test loss: 0.0093
