seed: 42, epochs: 300, algorithm: FedAvg, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, num_clients: 100, batch_size: 32, learning_rate: 0.01, model: simplecnn, dataset: MNIST, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, gpu_idx: [1], num_workers: 0, record_time: False, num_adv: 20, attack: PoisonedFL, defense: Median, attack_params: {'scaling_factor': 8.0}, defense_params: None, benchmark: False, local_epochs: 3, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:1, output: ./logs/FedAvg/MNIST_simplecnn/iid/MNIST_simplecnn_iid_PoisonedFL_Median_300_100_0.01_FedAvg.txt

Started on Mon Dec 15 15:14:52 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  		Train Acc: 0.1359	Train loss: 0.0718	Cos: nan	Test Acc: 0.2275	Test loss: 0.0711
Epoch 1  		Train Acc: 0.2392	Train loss: 0.0705	Cos: 1.000	Test Acc: 0.3056	Test loss: 0.0692
Epoch 2  		Train Acc: 0.3177	Train loss: 0.0685	Cos: 1.000	Test Acc: 0.3883	Test loss: 0.0668
Epoch 3  		Train Acc: 0.3955	Train loss: 0.0659	Cos: 1.000	Test Acc: 0.4925	Test loss: 0.0632
Epoch 4  		Train Acc: 0.4853	Train loss: 0.0619	Cos: 1.000	Test Acc: 0.5797	Test loss: 0.0578
Epoch 5  		Train Acc: 0.5557	Train loss: 0.0560	Cos: 1.000	Test Acc: 0.6516	Test loss: 0.0500
Epoch 6  		Train Acc: 0.6209	Train loss: 0.0536	Cos: 1.000	Test Acc: 0.7178	Test loss: 0.0400
Epoch 7  		Train Acc: 0.6719	Train loss: 0.0387	Cos: 0.999	Test Acc: 0.7802	Test loss: 0.0300
Epoch 8  		Train Acc: 0.7097	Train loss: 0.0312	Cos: 0.999	Test Acc: 0.7993	Test loss: 0.0226
Epoch 9  		Train Acc: 0.7093	Train loss: 0.0278	Cos: 1.000	Test Acc: 0.8148	Test loss: 0.0189
Epoch 10 		Train Acc: 0.7209	Train loss: 0.0275	Cos: 1.000	Test Acc: 0.8394	Test loss: 0.0166
Epoch 11 		Train Acc: 0.7421	Train loss: 0.0257	Cos: 1.000	Test Acc: 0.8545	Test loss: 0.0151
Epoch 12 		Train Acc: 0.7826	Train loss: 0.0253	Cos: 1.000	Test Acc: 0.8704	Test loss: 0.0143
Epoch 13 		Train Acc: 0.8041	Train loss: 0.0195	Cos: 1.000	Test Acc: 0.8806	Test loss: 0.0134
Epoch 14 		Train Acc: 0.8310	Train loss: 0.0169	Cos: 1.000	Test Acc: 0.8890	Test loss: 0.0130
Epoch 15 		Train Acc: 0.8588	Train loss: 0.0149	Cos: 1.000	Test Acc: 0.8943	Test loss: 0.0123
Epoch 16 		Train Acc: 0.8621	Train loss: 0.0144	Cos: 1.000	Test Acc: 0.9006	Test loss: 0.0115
Epoch 17 		Train Acc: 0.8778	Train loss: 0.0128	Cos: 1.000	Test Acc: 0.9037	Test loss: 0.0108
Epoch 18 		Train Acc: 0.8859	Train loss: 0.0137	Cos: 1.000	Test Acc: 0.9045	Test loss: 0.0102
Epoch 19 		Train Acc: 0.8829	Train loss: 0.0122	Cos: 1.000	Test Acc: 0.9099	Test loss: 0.0097
Epoch 20 		Train Acc: 0.8866	Train loss: 0.0117	Cos: 1.000	Test Acc: 0.9124	Test loss: 0.0094
Epoch 21 		Train Acc: 0.8925	Train loss: 0.0109	Cos: 1.000	Test Acc: 0.9133	Test loss: 0.0092
Epoch 22 		Train Acc: 0.9004	Train loss: 0.0105	Cos: 1.000	Test Acc: 0.9181	Test loss: 0.0088
Epoch 23 		Train Acc: 0.9008	Train loss: 0.0100	Cos: 1.000	Test Acc: 0.9207	Test loss: 0.0085
Epoch 24 		Train Acc: 0.8934	Train loss: 0.0106	Cos: 1.000	Test Acc: 0.9253	Test loss: 0.0083
Epoch 25 		Train Acc: 0.9050	Train loss: 0.0110	Cos: 1.000	Test Acc: 0.9259	Test loss: 0.0081
Epoch 26 		Train Acc: 0.9098	Train loss: 0.0093	Cos: 1.000	Test Acc: 0.9272	Test loss: 0.0079
Epoch 27 		Train Acc: 0.9097	Train loss: 0.0094	Cos: 1.000	Test Acc: 0.9303	Test loss: 0.0077
Epoch 28 		Train Acc: 0.9121	Train loss: 0.0090	Cos: 1.000	Test Acc: 0.9307	Test loss: 0.0075
Epoch 29 		Train Acc: 0.9098	Train loss: 0.0091	Cos: 1.000	Test Acc: 0.9328	Test loss: 0.0073
Epoch 30 		Train Acc: 0.9209	Train loss: 0.0083	Cos: 1.000	Test Acc: 0.9332	Test loss: 0.0071
Epoch 31 		Train Acc: 0.9203	Train loss: 0.0093	Cos: 1.000	Test Acc: 0.9344	Test loss: 0.0070
Epoch 32 		Train Acc: 0.9207	Train loss: 0.0083	Cos: 1.000	Test Acc: 0.9358	Test loss: 0.0068
Epoch 33 		Train Acc: 0.9194	Train loss: 0.0084	Cos: 1.000	Test Acc: 0.9374	Test loss: 0.0067
Epoch 34 		Train Acc: 0.9212	Train loss: 0.0079	Cos: 1.000	Test Acc: 0.9388	Test loss: 0.0066
Epoch 35 		Train Acc: 0.9255	Train loss: 0.0077	Cos: 1.000	Test Acc: 0.9409	Test loss: 0.0064
Epoch 36 		Train Acc: 0.9246	Train loss: 0.0077	Cos: 1.000	Test Acc: 0.9421	Test loss: 0.0063
Epoch 37 		Train Acc: 0.9320	Train loss: 0.0079	Cos: 1.000	Test Acc: 0.9415	Test loss: 0.0062
Epoch 38 		Train Acc: 0.9298	Train loss: 0.0076	Cos: 1.000	Test Acc: 0.9426	Test loss: 0.0061
Epoch 39 		Train Acc: 0.9364	Train loss: 0.0067	Cos: 1.000	Test Acc: 0.9443	Test loss: 0.0060
Epoch 40 		Train Acc: 0.9326	Train loss: 0.0070	Cos: 1.000	Test Acc: 0.9437	Test loss: 0.0059
Epoch 41 		Train Acc: 0.9334	Train loss: 0.0069	Cos: 1.000	Test Acc: 0.9450	Test loss: 0.0058
Epoch 42 		Train Acc: 0.9305	Train loss: 0.0073	Cos: 1.000	Test Acc: 0.9491	Test loss: 0.0056
Epoch 43 		Train Acc: 0.9329	Train loss: 0.0069	Cos: 1.000	Test Acc: 0.9486	Test loss: 0.0055
Epoch 44 		Train Acc: 0.9361	Train loss: 0.0073	Cos: 1.000	Test Acc: 0.9494	Test loss: 0.0054
Epoch 45 		Train Acc: 0.9402	Train loss: 0.0064	Cos: 1.000	Test Acc: 0.9510	Test loss: 0.0054
Epoch 46 		Train Acc: 0.9397	Train loss: 0.0065	Cos: 1.000	Test Acc: 0.9515	Test loss: 0.0053
Epoch 47 		Train Acc: 0.9417	Train loss: 0.0063	Cos: 1.000	Test Acc: 0.9519	Test loss: 0.0052
Epoch 48 		Train Acc: 0.9386	Train loss: 0.0065	Cos: 1.000	Test Acc: 0.9528	Test loss: 0.0052
Epoch 49 		Train Acc: 0.9405	Train loss: 0.0064	Cos: 1.000	Test Acc: 0.9547	Test loss: 0.0050
Epoch 50 		Train Acc: 0.9434	Train loss: 0.0067	Cos: 1.000	Test Acc: 0.9553	Test loss: 0.0050
Epoch 51 		Train Acc: 0.9490	Train loss: 0.0056	Cos: 1.000	Test Acc: 0.9559	Test loss: 0.0049
Epoch 52 		Train Acc: 0.9452	Train loss: 0.0059	Cos: 1.000	Test Acc: 0.9543	Test loss: 0.0049
Epoch 53 		Train Acc: 0.9421	Train loss: 0.0060	Cos: 1.000	Test Acc: 0.9555	Test loss: 0.0048
