seed: 42, epochs: 300, algorithm: FedAvg, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, num_clients: 100, batch_size: 32, learning_rate: 0.01, model: simplecnn, dataset: MNIST, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, gpu_idx: [1], num_workers: 0, record_time: False, num_adv: 20, attack: TMRC, defense: Krum, attack_params: {'scaling_factor': 8.0, 'importance_ratio"': 0.8}, defense_params: {'enable_check': False}, benchmark: False, local_epochs: 3, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:1, output: ./logs/FedAvg/MNIST_simplecnn/iid/MNIST_simplecnn_iid_TMRC_Krum_300_100_0.01_FedAvg.txt

Started on Tue Dec 16 16:23:13 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  		Train Acc: 0.1359	Train loss: 0.0718	Cos: nan	Test Acc: 0.2409	Test loss: 0.0711
Epoch 1  		Train Acc: 0.2444	Train loss: 0.0705	Cos: 1.000	Test Acc: 0.2844	Test loss: 0.0694
Epoch 2  		Train Acc: 0.2869	Train loss: 0.0687	Cos: 1.000	Test Acc: 0.3379	Test loss: 0.0671
Epoch 3  		Train Acc: 0.3479	Train loss: 0.0661	Cos: 1.000	Test Acc: 0.5102	Test loss: 0.0635
Epoch 4  		Train Acc: 0.4921	Train loss: 0.0622	Cos: 1.000	Test Acc: 0.5688	Test loss: 0.0580
Epoch 5  		Train Acc: 0.5491	Train loss: 0.0561	Cos: 1.000	Test Acc: 0.5942	Test loss: 0.0509
Epoch 6  		Train Acc: 0.5891	Train loss: 0.0544	Cos: 0.999	Test Acc: 0.6648	Test loss: 0.0414
Epoch 7  		Train Acc: 0.6354	Train loss: 0.0400	Cos: 0.999	Test Acc: 0.7297	Test loss: 0.0320
Epoch 8  		Train Acc: 0.6832	Train loss: 0.0324	Cos: 0.999	Test Acc: 0.7235	Test loss: 0.0260
Epoch 9  		Train Acc: 0.6847	Train loss: 0.0294	Cos: 0.999	Test Acc: 0.7636	Test loss: 0.0214
Epoch 10 		Train Acc: 0.7077	Train loss: 0.0282	Cos: 0.999	Test Acc: 0.6928	Test loss: 0.0287
Epoch 11 		Train Acc: 0.6764	Train loss: 0.0316	Cos: 0.999	Test Acc: 0.7293	Test loss: 0.0246
Epoch 12 		Train Acc: 0.7248	Train loss: 0.0299	Cos: 0.999	Test Acc: 0.7440	Test loss: 0.0243
Epoch 13 		Train Acc: 0.7385	Train loss: 0.0253	Cos: 0.999	Test Acc: 0.7528	Test loss: 0.0218
Epoch 14 		Train Acc: 0.7621	Train loss: 0.0216	Cos: 0.999	Test Acc: 0.8319	Test loss: 0.0164
Epoch 15 		Train Acc: 0.8028	Train loss: 0.0185	Cos: 1.000	Test Acc: 0.8600	Test loss: 0.0160
Epoch 16 		Train Acc: 0.8432	Train loss: 0.0168	Cos: 1.000	Test Acc: 0.8563	Test loss: 0.0144
Epoch 17 		Train Acc: 0.8486	Train loss: 0.0151	Cos: 1.000	Test Acc: 0.8713	Test loss: 0.0136
Epoch 18 		Train Acc: 0.8676	Train loss: 0.0156	Cos: 1.000	Test Acc: 0.8845	Test loss: 0.0120
