seed: 42, epochs: 300, algorithm: FedAvg, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, num_clients: 100, batch_size: 32, learning_rate: 0.01, model: simplecnn, dataset: MNIST, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, gpu_idx: [1], num_workers: 0, record_time: False, num_adv: 20, attack: TMRC, defense: MeanNorm, attack_params: {'scaling_factor': 8.0, 'importance_ratio"': 0.5}, defense_params: None, benchmark: False, local_epochs: 3, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:1, output: ./logs/FedAvg/MNIST_simplecnn/iid/MNIST_simplecnn_iid_TMRC_MeanNorm_300_100_0.01_FedAvg.txt

Started on Mon Dec 15 21:19:50 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  		Train Acc: 0.1359	Train loss: 0.0718	Cos: nan	Test Acc: 0.2261	Test loss: 0.0711
Epoch 1  		Train Acc: 0.2373	Train loss: 0.0705	Cos: 0.999	Test Acc: 0.2989	Test loss: 0.0716
Epoch 2  		Train Acc: 0.3131	Train loss: 0.0714	Cos: 0.974	Test Acc: 0.2093	Test loss: 0.0718
Epoch 3  		Train Acc: 0.2459	Train loss: 0.0716	Cos: 0.981	Test Acc: 0.2012	Test loss: 0.0719
Epoch 4  		Train Acc: 0.2234	Train loss: 0.0717	Cos: 0.987	Test Acc: 0.1799	Test loss: 0.0719
Epoch 5  		Train Acc: 0.1727	Train loss: 0.0718	Cos: 0.992	Test Acc: 0.1563	Test loss: 0.0720
Epoch 6  		Train Acc: 0.1581	Train loss: 0.0806	Cos: 0.996	Test Acc: 0.1275	Test loss: 0.0720
Epoch 7  		Train Acc: 0.1326	Train loss: 0.0719	Cos: 0.998	Test Acc: 0.1147	Test loss: 0.0720
Epoch 8  		Train Acc: 0.1259	Train loss: 0.0719	Cos: 1.000	Test Acc: 0.1135	Test loss: 0.0720
Epoch 9  		Train Acc: 0.1121	Train loss: 0.0719	Cos: 0.999	Test Acc: 0.1135	Test loss: 0.0721
Epoch 10 		Train Acc: 0.1137	Train loss: 0.0719	Cos: 0.999	Test Acc: 0.1135	Test loss: 0.0720
Epoch 11 		Train Acc: 0.1094	Train loss: 0.0719	Cos: 0.999	Test Acc: 0.1135	Test loss: 0.0721
Epoch 12 		Train Acc: 0.1113	Train loss: 0.0807	Cos: 1.000	Test Acc: 0.1135	Test loss: 0.0721
Epoch 13 		Train Acc: 0.1081	Train loss: 0.0719	Cos: 0.999	Test Acc: 0.1135	Test loss: 0.0721
