seed: 4, epochs: 3000, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.5, 0.8], num_clients: 100, batch_size: 16, learning_rate: 0.05, model: lenet, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, gpu_idx: [0], num_workers: 0, record_time: False, num_adv: 30, attack: PoisonedFL2, defense: Krum, attack_params: None, defense_params: {'enable_check': False}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:0, output: ./logs/FedSGD/CIFAR10_lenet/iid/CIFAR10_lenet_iid_PoisonedFL2_Krum_3000_100_0.05_FedSGD.txt

Started on Sat Feb 21 23:18:45 2026
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0    Train Acc: 0.1062  Train loss: 0.1440  Test Acc: 0.1000	Test loss: 0.1440
Epoch 1    Train Acc: 0.0831  Train loss: 0.1441  Test Acc: 0.1000	Test loss: 0.1439
Epoch 2    Train Acc: 0.0925  Train loss: 0.1440  Test Acc: 0.1001	Test loss: 0.1439
Epoch 3    Train Acc: 0.0981  Train loss: 0.1439  Test Acc: 0.1001	Test loss: 0.1439
Epoch 4    Train Acc: 0.0944  Train loss: 0.1439  Test Acc: 0.1000	Test loss: 0.1438
Epoch 5    Train Acc: 0.1125  Train loss: 0.1437  Test Acc: 0.1003	Test loss: 0.1438
Epoch 6    Train Acc: 0.0994  Train loss: 0.1438  Test Acc: 0.1027	Test loss: 0.1437
Epoch 7    Train Acc: 0.1013  Train loss: 0.1437  Test Acc: 0.1078	Test loss: 0.1437
Epoch 8    Train Acc: 0.1169  Train loss: 0.1436  Test Acc: 0.1229	Test loss: 0.1436
Epoch 9    Train Acc: 0.1219  Train loss: 0.1437  Test Acc: 0.1393	Test loss: 0.1436
Epoch 10   Train Acc: 0.1462  Train loss: 0.1435  Test Acc: 0.1594	Test loss: 0.1435
Epoch 11   Train Acc: 0.1481  Train loss: 0.1435  Test Acc: 0.1671	Test loss: 0.1434
Epoch 12   Train Acc: 0.1681  Train loss: 0.1434  Test Acc: 0.1626	Test loss: 0.1434
