seed: 42, epochs: 2000, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, num_clients: 100, batch_size: 32, learning_rate: 0.01, model: simplecnn, dataset: MNIST, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, gpu_idx: [1], num_workers: 0, record_time: False, num_adv: 40, attack: ALIE, defense: TrimmedMean, attack_params: None, defense_params: {'beta': 0.1}, benchmark: False, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:1, output: ./logs/FedSGD/MNIST_simplecnn/iid/MNIST_simplecnn_iid_ALIE_TrimmedMean_2000_100_0.01_FedSGD.txt

Started on Tue Dec  2 20:15:35 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  		Train Acc: 0.1191	Train loss: 0.0720	Test Acc: 0.1548	Test loss: 0.0719
Epoch 1  		Train Acc: 0.1416	Train loss: 0.0718	Test Acc: 0.1926	Test loss: 0.0716
Epoch 2  		Train Acc: 0.1856	Train loss: 0.0715	Test Acc: 0.2155	Test loss: 0.0711
Epoch 3  		Train Acc: 0.2141	Train loss: 0.0709	Test Acc: 0.2256	Test loss: 0.0704
Epoch 4  		Train Acc: 0.2225	Train loss: 0.0703	Test Acc: 0.2447	Test loss: 0.0697
Epoch 5  		Train Acc: 0.2403	Train loss: 0.0696	Test Acc: 0.2724	Test loss: 0.0688
Epoch 6  		Train Acc: 0.2728	Train loss: 0.0687	Test Acc: 0.3115	Test loss: 0.0678
Epoch 7  		Train Acc: 0.3081	Train loss: 0.0676	Test Acc: 0.3517	Test loss: 0.0667
Epoch 8  		Train Acc: 0.3513	Train loss: 0.0667	Test Acc: 0.3983	Test loss: 0.0655
Epoch 9  		Train Acc: 0.3894	Train loss: 0.0656	Test Acc: 0.4524	Test loss: 0.0641
Epoch 10 		Train Acc: 0.4403	Train loss: 0.0643	Test Acc: 0.4997	Test loss: 0.0625
Epoch 11 		Train Acc: 0.4900	Train loss: 0.0625	Test Acc: 0.5454	Test loss: 0.0605
Epoch 12 		Train Acc: 0.5381	Train loss: 0.0606	Test Acc: 0.5890	Test loss: 0.0583
