seed: 42, epochs: 1000, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, num_clients: 100, batch_size: 32, learning_rate: 0.01, model: simplecnn, dataset: MNIST, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, gpu_idx: [1], num_workers: 0, record_time: False, num_adv: 40, attack: DMRCA, defense: MeanNorm, attack_params: None, defense_params: None, benchmark: False, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:1, output: ./logs/FedSGD/MNIST_simplecnn/iid/MNIST_simplecnn_iid_DMRCA_MeanNorm_1000_100_0.01_FedSGD.txt

Started on Sat Dec 20 23:43:17 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  		Train Acc: 0.1191	Train loss: 0.0720	Cos: nan	Test Acc: 0.1515	Test loss: 0.0719
Epoch 1  		Train Acc: 0.1369	Train loss: 0.0718	Cos: 0.991	Test Acc: 0.1870	Test loss: 0.0716
Epoch 2  		Train Acc: 0.1756	Train loss: 0.0715	Cos: 0.997	Test Acc: 0.2229	Test loss: 0.0712
Epoch 3  		Train Acc: 0.2162	Train loss: 0.0710	Cos: 0.997	Test Acc: 0.2539	Test loss: 0.0706
Epoch 4  		Train Acc: 0.2516	Train loss: 0.0705	Cos: 0.996	Test Acc: 0.2753	Test loss: 0.0700
Epoch 5  		Train Acc: 0.2706	Train loss: 0.0699	Cos: 0.995	Test Acc: 0.2976	Test loss: 0.0693
Epoch 6  		Train Acc: 0.2941	Train loss: 0.0692	Cos: 0.994	Test Acc: 0.3216	Test loss: 0.0686
Epoch 7  		Train Acc: 0.3181	Train loss: 0.0684	Cos: 0.993	Test Acc: 0.3476	Test loss: 0.0678
Epoch 8  		Train Acc: 0.3506	Train loss: 0.0677	Cos: 0.993	Test Acc: 0.3856	Test loss: 0.0668
Epoch 9  		Train Acc: 0.3741	Train loss: 0.0669	Cos: 0.994	Test Acc: 0.4225	Test loss: 0.0658
Epoch 10 		Train Acc: 0.4097	Train loss: 0.0659	Cos: 0.582	Test Acc: 0.4252	Test loss: 0.0654
Epoch 11 		Train Acc: 0.4238	Train loss: 0.0654	Cos: 0.987	Test Acc: 0.4308	Test loss: 0.0651
