seed: 42, epochs: 2000, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, num_clients: 100, batch_size: 32, learning_rate: 0.01, model: simplecnn, dataset: MNIST, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, gpu_idx: [1], num_workers: 0, record_time: False, num_adv: 40, attack: DMRCA, defense: Krum, attack_params: None, defense_params: {'enable_check': False}, benchmark: False, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:1, output: ./logs/FedSGD/MNIST_simplecnn/iid/MNIST_simplecnn_iid_DMRCA_Krum_2000_100_0.01_FedSGD.txt

Started on Thu Dec 11 14:40:59 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  		Train Acc: 0.1191	Train loss: 0.0720	Test Acc: 0.1425	Test loss: 0.0719
Epoch 1  		Train Acc: 0.1306	Train loss: 0.0718	Test Acc: 0.1663	Test loss: 0.0716
Epoch 2  		Train Acc: 0.1647	Train loss: 0.0715	Test Acc: 0.2161	Test loss: 0.0711
Epoch 3  		Train Acc: 0.2087	Train loss: 0.0710	Test Acc: 0.2456	Test loss: 0.0705
Epoch 4  		Train Acc: 0.2431	Train loss: 0.0704	Test Acc: 0.2394	Test loss: 0.0699
Epoch 5  		Train Acc: 0.2344	Train loss: 0.0698	Test Acc: 0.3197	Test loss: 0.0693
Epoch 6  		Train Acc: 0.3181	Train loss: 0.0692	Test Acc: 0.3430	Test loss: 0.0685
Epoch 7  		Train Acc: 0.3403	Train loss: 0.0683	Test Acc: 0.3841	Test loss: 0.0677
Epoch 8  		Train Acc: 0.3728	Train loss: 0.0677	Test Acc: 0.4029	Test loss: 0.0667
Epoch 9  		Train Acc: 0.3791	Train loss: 0.0667	Test Acc: 0.4225	Test loss: 0.0656
Epoch 10 		Train Acc: 0.4069	Train loss: 0.0658	Test Acc: 0.4738	Test loss: 0.0643
Epoch 11 		Train Acc: 0.4653	Train loss: 0.0642	Test Acc: 0.4753	Test loss: 0.0629
Epoch 12 		Train Acc: 0.4675	Train loss: 0.0630	Test Acc: 0.4950	Test loss: 0.0612
Epoch 13 		Train Acc: 0.4869	Train loss: 0.0613	Test Acc: 0.5160	Test loss: 0.0593
Epoch 14 		Train Acc: 0.5169	Train loss: 0.0593	Test Acc: 0.5375	Test loss: 0.0570
Epoch 15 		Train Acc: 0.5394	Train loss: 0.0569	Test Acc: 0.5799	Test loss: 0.0545
Epoch 16 		Train Acc: 0.5741	Train loss: 0.0547	Test Acc: 0.6157	Test loss: 0.0517
Epoch 17 		Train Acc: 0.5972	Train loss: 0.0520	Test Acc: 0.6585	Test loss: 0.0485
Epoch 18 		Train Acc: 0.6591	Train loss: 0.0662	Test Acc: 0.7067	Test loss: 0.0451
Epoch 19 		Train Acc: 0.6981	Train loss: 0.0453	Test Acc: 0.6996	Test loss: 0.0417
Epoch 20 		Train Acc: 0.6972	Train loss: 0.0420	Test Acc: 0.6990	Test loss: 0.0381
Epoch 21 		Train Acc: 0.6791	Train loss: 0.0388	Test Acc: 0.6743	Test loss: 0.0354
Epoch 22 		Train Acc: 0.6709	Train loss: 0.0363	Test Acc: 0.7483	Test loss: 0.0314
Epoch 23 		Train Acc: 0.7356	Train loss: 0.0325	Test Acc: 0.6777	Test loss: 0.0316
Epoch 24 		Train Acc: 0.6781	Train loss: 0.0320	Test Acc: 0.6456	Test loss: 0.0348
Epoch 25 		Train Acc: 0.6547	Train loss: 0.0349	Test Acc: 0.7386	Test loss: 0.0295
Epoch 26 		Train Acc: 0.7253	Train loss: 0.0306	Test Acc: 0.7342	Test loss: 0.0326
Epoch 27 		Train Acc: 0.7288	Train loss: 0.0331	Test Acc: 0.7006	Test loss: 0.0318
Epoch 28 		Train Acc: 0.6966	Train loss: 0.0320	Test Acc: 0.7202	Test loss: 0.0280
Epoch 29 		Train Acc: 0.7163	Train loss: 0.0286	Test Acc: 0.7546	Test loss: 0.0255
Epoch 30 		Train Acc: 0.7431	Train loss: 0.0262	Test Acc: 0.7265	Test loss: 0.0286
Epoch 31 		Train Acc: 0.7206	Train loss: 0.0290	Test Acc: 0.7474	Test loss: 0.0250
Epoch 32 		Train Acc: 0.7481	Train loss: 0.0250	Test Acc: 0.7331	Test loss: 0.0251
Epoch 33 		Train Acc: 0.7322	Train loss: 0.0252	Test Acc: 0.7302	Test loss: 0.0270
Epoch 34 		Train Acc: 0.7219	Train loss: 0.0276	Test Acc: 0.7141	Test loss: 0.0301
Epoch 35 		Train Acc: 0.7150	Train loss: 0.0304	Test Acc: 0.7544	Test loss: 0.0276
Epoch 36 		Train Acc: 0.7447	Train loss: 0.0282	Test Acc: 0.6969	Test loss: 0.0337
Epoch 37 		Train Acc: 0.6869	Train loss: 0.0452	Test Acc: 0.6823	Test loss: 0.0359
Epoch 38 		Train Acc: 0.6703	Train loss: 0.0364	Test Acc: 0.6385	Test loss: 0.0416
Epoch 39 		Train Acc: 0.6284	Train loss: 0.0422	Test Acc: 0.7150	Test loss: 0.0314
