seed: 42, epochs: 2000, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, num_clients: 1000, batch_size: 32, learning_rate: 0.01, model: simplecnn, dataset: MNIST, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, gpu_idx: [1], num_workers: 0, record_time: False, num_adv: 200, attack: PoisonedFL, defense: MultiKrum, attack_params: {'scaling_factor': 8.0}, defense_params: {'avg_percentage': 0.2, 'enable_check': False}, benchmark: False, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:1, output: ./logs/FedSGD/MNIST_simplecnn/iid/MNIST_simplecnn_iid_PoisonedFL_MultiKrum_2000_1000_0.01_FedSGD.txt

Started on Mon Nov 24 22:34:42 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  		Train Acc: 0.0955	Train loss: 0.0723	Test Acc: 0.1078	Test loss: 0.0723
Epoch 1  		Train Acc: 0.1143	Train loss: 0.0831	Test Acc: 0.1411	Test loss: 0.0720
Epoch 2  		Train Acc: 0.1461	Train loss: 0.0719	Test Acc: 0.1803	Test loss: 0.0717
Epoch 3  		Train Acc: 0.1820	Train loss: 0.0824	Test Acc: 0.2143	Test loss: 0.0712
Epoch 4  		Train Acc: 0.2124	Train loss: 0.0711	Test Acc: 0.2483	Test loss: 0.0707
Epoch 5  		Train Acc: 0.2465	Train loss: 0.0813	Test Acc: 0.2841	Test loss: 0.0702
Epoch 6  		Train Acc: 0.2751	Train loss: 0.0700	Test Acc: 0.3242	Test loss: 0.0696
Epoch 7  		Train Acc: 0.3199	Train loss: 0.0800	Test Acc: 0.3885	Test loss: 0.0689
Epoch 8  		Train Acc: 0.3812	Train loss: 0.0687	Test Acc: 0.4514	Test loss: 0.0681
Epoch 9  		Train Acc: 0.4500	Train loss: 0.0784	Test Acc: 0.5019	Test loss: 0.0673
Epoch 10 		Train Acc: 0.5044	Train loss: 0.0672	Test Acc: 0.5361	Test loss: 0.0663
Epoch 11 		Train Acc: 0.5450	Train loss: 0.0763	Test Acc: 0.5671	Test loss: 0.0651
Epoch 12 		Train Acc: 0.5699	Train loss: 0.0651	Test Acc: 0.5909	Test loss: 0.0638
Epoch 13 		Train Acc: 0.5968	Train loss: 0.0733	Test Acc: 0.6147	Test loss: 0.0621
Epoch 14 		Train Acc: 0.6101	Train loss: 0.0621	Test Acc: 0.6322	Test loss: 0.0602
Epoch 15 		Train Acc: 0.6304	Train loss: 0.0694	Test Acc: 0.6428	Test loss: 0.0580
Epoch 16 		Train Acc: 0.6399	Train loss: 0.0581	Test Acc: 0.6506	Test loss: 0.0554
Epoch 17 		Train Acc: 0.6474	Train loss: 0.0639	Test Acc: 0.6612	Test loss: 0.0524
Epoch 18 		Train Acc: 0.6535	Train loss: 0.0526	Test Acc: 0.6707	Test loss: 0.0490
Epoch 19 		Train Acc: 0.6647	Train loss: 0.0566	Test Acc: 0.6833	Test loss: 0.0453
Epoch 20 		Train Acc: 0.6731	Train loss: 0.0456	Test Acc: 0.7015	Test loss: 0.0415
Epoch 21 		Train Acc: 0.6906	Train loss: 0.0483	Test Acc: 0.7185	Test loss: 0.0376
Epoch 22 		Train Acc: 0.7060	Train loss: 0.0380	Test Acc: 0.7410	Test loss: 0.0338
Epoch 23 		Train Acc: 0.7326	Train loss: 0.0394	Test Acc: 0.7670	Test loss: 0.0303
