seed: 42, epochs: 2000, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, num_clients: 1200, batch_size: 32, learning_rate: 0.01, model: simplecnn, dataset: MNIST, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, gpu_idx: [1], num_workers: 0, record_time: False, num_adv: 240, attack: PoisonedFL, defense: TrimmedMean, attack_params: {'scaling_factor': 8.0}, defense_params: {'beta': 0.1}, benchmark: False, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:1, output: ./logs/FedSGD/MNIST_simplecnn/iid/MNIST_simplecnn_iid_PoisonedFL_TrimmedMean_2000_1200_0.01_FedSGD.txt

Started on Tue Nov 25 13:58:47 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  		Train Acc: 0.0967	Train loss: 0.0727	Test Acc: 0.0948	Test loss: 0.0727
Epoch 1  		Train Acc: 0.0988	Train loss: 0.1315	Test Acc: 0.0957	Test loss: 0.0725
Epoch 2  		Train Acc: 0.0977	Train loss: 0.0724	Test Acc: 0.0963	Test loss: 0.0724
Epoch 3  		Train Acc: 0.0992	Train loss: 0.1309	Test Acc: 0.0964	Test loss: 0.0721
Epoch 4  		Train Acc: 0.1007	Train loss: 0.0720	Test Acc: 0.0982	Test loss: 0.0718
Epoch 5  		Train Acc: 0.0999	Train loss: 0.1300	Test Acc: 0.1098	Test loss: 0.0715
Epoch 6  		Train Acc: 0.1143	Train loss: 0.0714	Test Acc: 0.1401	Test loss: 0.0712
Epoch 7  		Train Acc: 0.1446	Train loss: 0.1289	Test Acc: 0.1735	Test loss: 0.0709
Epoch 8  		Train Acc: 0.1756	Train loss: 0.0707	Test Acc: 0.2095	Test loss: 0.0705
Epoch 9  		Train Acc: 0.2125	Train loss: 0.1276	Test Acc: 0.2590	Test loss: 0.0701
Epoch 10 		Train Acc: 0.2570	Train loss: 0.0700	Test Acc: 0.3112	Test loss: 0.0697
Epoch 11 		Train Acc: 0.3101	Train loss: 0.1263	Test Acc: 0.3586	Test loss: 0.0693
Epoch 12 		Train Acc: 0.3513	Train loss: 0.0693	Test Acc: 0.3889	Test loss: 0.0689
Epoch 13 		Train Acc: 0.3881	Train loss: 0.1248	Test Acc: 0.4124	Test loss: 0.0684
Epoch 14 		Train Acc: 0.4076	Train loss: 0.0684	Test Acc: 0.4448	Test loss: 0.0679
Epoch 15 		Train Acc: 0.4397	Train loss: 0.1230	Test Acc: 0.4887	Test loss: 0.0673
Epoch 16 		Train Acc: 0.4766	Train loss: 0.0673	Test Acc: 0.5200	Test loss: 0.0667
Epoch 17 		Train Acc: 0.5145	Train loss: 0.1208	Test Acc: 0.5526	Test loss: 0.0660
Epoch 18 		Train Acc: 0.5417	Train loss: 0.0660	Test Acc: 0.5808	Test loss: 0.0652
Epoch 19 		Train Acc: 0.5680	Train loss: 0.1182	Test Acc: 0.6027	Test loss: 0.0643
Epoch 20 		Train Acc: 0.5884	Train loss: 0.0643	Test Acc: 0.6228	Test loss: 0.0633
Epoch 21 		Train Acc: 0.6048	Train loss: 0.1148	Test Acc: 0.6363	Test loss: 0.0622
Epoch 22 		Train Acc: 0.6140	Train loss: 0.0623	Test Acc: 0.6448	Test loss: 0.0609
Epoch 23 		Train Acc: 0.6264	Train loss: 0.1104	Test Acc: 0.6495	Test loss: 0.0595
Epoch 24 		Train Acc: 0.6254	Train loss: 0.0596	Test Acc: 0.6509	Test loss: 0.0579
Epoch 25 		Train Acc: 0.6276	Train loss: 0.1052	Test Acc: 0.6563	Test loss: 0.0561
Epoch 26 		Train Acc: 0.6333	Train loss: 0.0563	Test Acc: 0.6633	Test loss: 0.0540
Epoch 27 		Train Acc: 0.6425	Train loss: 0.0982	Test Acc: 0.6692	Test loss: 0.0518
Epoch 28 		Train Acc: 0.6488	Train loss: 0.0521	Test Acc: 0.6733	Test loss: 0.0493
Epoch 29 		Train Acc: 0.6612	Train loss: 0.0900	Test Acc: 0.6831	Test loss: 0.0466
Epoch 30 		Train Acc: 0.6668	Train loss: 0.0472	Test Acc: 0.6946	Test loss: 0.0438
Epoch 31 		Train Acc: 0.6806	Train loss: 0.0802	Test Acc: 0.7081	Test loss: 0.0408
Epoch 32 		Train Acc: 0.6933	Train loss: 0.0413	Test Acc: 0.7231	Test loss: 0.0377
Epoch 33 		Train Acc: 0.7067	Train loss: 0.0696	Test Acc: 0.7368	Test loss: 0.0346
Epoch 34 		Train Acc: 0.7254	Train loss: 0.0353	Test Acc: 0.7473	Test loss: 0.0317
Epoch 35 		Train Acc: 0.7381	Train loss: 0.0589	Test Acc: 0.7588	Test loss: 0.0289
Epoch 36 		Train Acc: 0.7506	Train loss: 0.0296	Test Acc: 0.7682	Test loss: 0.0264
Epoch 37 		Train Acc: 0.7622	Train loss: 0.0495	Test Acc: 0.7738	Test loss: 0.0243
Epoch 38 		Train Acc: 0.7683	Train loss: 0.0250	Test Acc: 0.7816	Test loss: 0.0226
Epoch 39 		Train Acc: 0.7730	Train loss: 0.0426	Test Acc: 0.7944	Test loss: 0.0210
Epoch 40 		Train Acc: 0.7856	Train loss: 0.0218	Test Acc: 0.8055	Test loss: 0.0201
Epoch 41 		Train Acc: 0.7911	Train loss: 0.0378	Test Acc: 0.8060	Test loss: 0.0192
Epoch 42 		Train Acc: 0.7975	Train loss: 0.0198	Test Acc: 0.7271	Test loss: 0.0279
Epoch 43 		Train Acc: 0.7236	Train loss: 0.0514	Test Acc: 0.7363	Test loss: 0.0254
Epoch 44 		Train Acc: 0.7310	Train loss: 0.0259	Test Acc: 0.3759	Test loss: 0.1447
Epoch 45 		Train Acc: 0.3801	Train loss: 0.2612	Test Acc: 0.3691	Test loss: 0.1303
Epoch 46 		Train Acc: 0.3728	Train loss: 0.1281	Test Acc: 0.5304	Test loss: 0.1138
Epoch 47 		Train Acc: 0.5247	Train loss: 0.2082	Test Acc: 0.4822	Test loss: 0.1360
Epoch 48 		Train Acc: 0.4676	Train loss: 0.1357	Test Acc: 0.5225	Test loss: 0.1025
Epoch 49 		Train Acc: 0.5143	Train loss: 0.1859	Test Acc: 0.4749	Test loss: 0.0912
Epoch 50 		Train Acc: 0.4679	Train loss: 0.0933	Test Acc: 0.5472	Test loss: 0.0789
Epoch 51 		Train Acc: 0.5491	Train loss: 0.1408	Test Acc: 0.4977	Test loss: 0.1034
Epoch 52 		Train Acc: 0.5054	Train loss: 0.1013	Test Acc: 0.4718	Test loss: 0.1349
Epoch 53 		Train Acc: 0.4803	Train loss: 0.2435	Test Acc: 0.4891	Test loss: 0.1506
Epoch 54 		Train Acc: 0.4857	Train loss: 0.1470	Test Acc: 0.6012	Test loss: 0.1067
Epoch 55 		Train Acc: 0.6035	Train loss: 0.1943	Test Acc: 0.4797	Test loss: 0.3718
Epoch 56 		Train Acc: 0.4768	Train loss: 0.3737	Test Acc: 0.3039	Test loss: 0.7047
Epoch 57 		Train Acc: 0.3042	Train loss: 1.2679	Test Acc: 0.4870	Test loss: 0.6735
Epoch 58 		Train Acc: 0.4857	Train loss: 0.6528	Test Acc: 0.3413	Test loss: 1.5095
Epoch 59 		Train Acc: 0.3436	Train loss: 2.6756	Test Acc: 0.2866	Test loss: 2.0059
Epoch 60 		Train Acc: 0.2854	Train loss: 2.0176	Test Acc: 0.4191	Test loss: 1.0286
Epoch 61 		Train Acc: 0.4036	Train loss: 1.8907	Test Acc: 0.4600	Test loss: 0.4740
Epoch 62 		Train Acc: 0.4430	Train loss: 0.4928	Test Acc: 0.4124	Test loss: 0.4676
Epoch 63 		Train Acc: 0.4050	Train loss: 0.8407	Test Acc: 0.4537	Test loss: 0.5115
Epoch 64 		Train Acc: 0.4486	Train loss: 0.5098	Test Acc: 0.4215	Test loss: 0.6251
Epoch 65 		Train Acc: 0.4113	Train loss: 1.1185	Test Acc: 0.3865	Test loss: 0.7081
Epoch 66 		Train Acc: 0.3857	Train loss: 0.7190	Test Acc: 0.4197	Test loss: 0.3004
Epoch 67 		Train Acc: 0.4261	Train loss: 0.5548	Test Acc: 0.4133	Test loss: 0.2587
Epoch 68 		Train Acc: 0.4144	Train loss: 0.2653	Test Acc: 0.3944	Test loss: 0.2527
Epoch 69 		Train Acc: 0.3871	Train loss: 0.4692	Test Acc: 0.3530	Test loss: 0.2225
Epoch 70 		Train Acc: 0.3578	Train loss: 0.2228	Test Acc: 0.3592	Test loss: 0.1877
Epoch 71 		Train Acc: 0.3671	Train loss: 0.3449	Test Acc: 0.3115	Test loss: 0.1361
Epoch 72 		Train Acc: 0.3082	Train loss: 0.1456	Test Acc: 0.2643	Test loss: 0.1011
Epoch 73 		Train Acc: 0.2694	Train loss: 0.1998	Test Acc: 0.2306	Test loss: 0.1031
Epoch 74 		Train Acc: 0.2392	Train loss: 0.1164	Test Acc: 0.2645	Test loss: 0.1059
Epoch 75 		Train Acc: 0.2732	Train loss: 0.2015	Test Acc: 0.2762	Test loss: 0.1009
Epoch 76 		Train Acc: 0.2749	Train loss: 0.1006	Test Acc: 0.1747	Test loss: 0.1097
Epoch 77 		Train Acc: 0.1734	Train loss: 0.2067	Test Acc: 0.1403	Test loss: 0.0864
Epoch 78 		Train Acc: 0.1412	Train loss: 0.0871	Test Acc: 0.1157	Test loss: 0.0800
Epoch 79 		Train Acc: 0.1128	Train loss: 0.1402	Test Acc: 0.1155	Test loss: 0.0783
Epoch 80 		Train Acc: 0.1144	Train loss: 0.0790	Test Acc: 0.1154	Test loss: 0.0841
Epoch 81 		Train Acc: 0.1134	Train loss: 0.1486	Test Acc: 0.1153	Test loss: 0.0961
Epoch 82 		Train Acc: 0.1158	Train loss: 0.0958	Test Acc: 0.1149	Test loss: 0.1441
Epoch 83 		Train Acc: 0.1103	Train loss: 0.2848	Test Acc: 0.1147	Test loss: 0.1895
Epoch 84 		Train Acc: 0.1127	Train loss: 0.1925	Test Acc: 0.1146	Test loss: 0.2362
Epoch 85 		Train Acc: 0.1141	Train loss: 0.4693	Test Acc: 0.1144	Test loss: 0.3820
Epoch 86 		Train Acc: 0.1145	Train loss: 0.4257	Test Acc: 0.1141	Test loss: 0.5666
Epoch 87 		Train Acc: 0.1113	Train loss: 1.2066	Test Acc: 0.1144	Test loss: 0.6029
Epoch 88 		Train Acc: 0.1132	Train loss: 0.8004	Test Acc: 0.1121	Test loss: 0.6497
Epoch 89 		Train Acc: 0.1109	Train loss: 1.5758	Test Acc: 0.1144	Test loss: 0.6610
Epoch 90 		Train Acc: 0.1145	Train loss: 0.9987	Test Acc: 0.1151	Test loss: 0.6189
Epoch 91 		Train Acc: 0.1102	Train loss: 2.1611	Test Acc: 0.1137	Test loss: 0.6595
Epoch 92 		Train Acc: 0.1110	Train loss: 1.2069	Test Acc: 0.1137	Test loss: 0.7326
Epoch 93 		Train Acc: 0.1152	Train loss: 1.7977	Test Acc: 0.1137	Test loss: 0.8938
Epoch 94 		Train Acc: 0.1129	Train loss: 1.0292	Test Acc: 0.1136	Test loss: 0.8223
Epoch 95 		Train Acc: 0.1117	Train loss: 3.7317	Test Acc: 0.1114	Test loss: 0.7747
Epoch 96 		Train Acc: 0.1116	Train loss: 1.0105	Test Acc: 0.1052	Test loss: 0.9471
Epoch 97 		Train Acc: 0.1022	Train loss: 2.5207	Test Acc: 0.1135	Test loss: 0.4079
Epoch 98 		Train Acc: 0.1105	Train loss: 0.3690	Test Acc: 0.1135	Test loss: 0.1349
Epoch 99 		Train Acc: 0.1148	Train loss: 0.8046	Test Acc: 0.1133	Test loss: 0.2299
