seed: 42, epochs: 2000, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, num_clients: 1200, batch_size: 32, learning_rate: 0.01, model: simplecnn, dataset: MNIST, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, gpu_idx: [1], num_workers: 0, record_time: False, num_adv: 240, attack: PoisonedFL, defense: FLAME, attack_params: {'scaling_factor': 8.0}, defense_params: {'gamma': 1.2e-05}, benchmark: False, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:1, output: ./logs/FedSGD/MNIST_simplecnn/iid/MNIST_simplecnn_iid_PoisonedFL_FLAME_2000_1200_0.01_FedSGD.txt

Started on Tue Nov 25 13:58:48 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  		Train Acc: 0.0967	Train loss: 0.0727	Test Acc: 0.0949	Test loss: 0.0727
Epoch 1  		Train Acc: 0.0989	Train loss: 0.1315	Test Acc: 0.0960	Test loss: 0.0725
Epoch 2  		Train Acc: 0.0986	Train loss: 0.0724	Test Acc: 0.0964	Test loss: 0.0722
Epoch 3  		Train Acc: 0.0980	Train loss: 0.1307	Test Acc: 0.0972	Test loss: 0.0719
Epoch 4  		Train Acc: 0.1003	Train loss: 0.0718	Test Acc: 0.1103	Test loss: 0.0715
Epoch 5  		Train Acc: 0.1152	Train loss: 0.1294	Test Acc: 0.1515	Test loss: 0.0711
Epoch 6  		Train Acc: 0.1584	Train loss: 0.0710	Test Acc: 0.1994	Test loss: 0.0706
Epoch 7  		Train Acc: 0.2003	Train loss: 0.1279	Test Acc: 0.2660	Test loss: 0.0701
Epoch 8  		Train Acc: 0.2641	Train loss: 0.0700	Test Acc: 0.3415	Test loss: 0.0696
Epoch 9  		Train Acc: 0.3399	Train loss: 0.1261	Test Acc: 0.3993	Test loss: 0.0691
Epoch 10 		Train Acc: 0.3937	Train loss: 0.0690	Test Acc: 0.4378	Test loss: 0.0685
Epoch 11 		Train Acc: 0.4366	Train loss: 0.1241	Test Acc: 0.4891	Test loss: 0.0678
Epoch 12 		Train Acc: 0.4802	Train loss: 0.0678	Test Acc: 0.5333	Test loss: 0.0670
Epoch 13 		Train Acc: 0.5268	Train loss: 0.1215	Test Acc: 0.5744	Test loss: 0.0662
Epoch 14 		Train Acc: 0.5704	Train loss: 0.0662	Test Acc: 0.6121	Test loss: 0.0652
Epoch 15 		Train Acc: 0.5999	Train loss: 0.1182	Test Acc: 0.6392	Test loss: 0.0640
Epoch 16 		Train Acc: 0.6284	Train loss: 0.0640	Test Acc: 0.6642	Test loss: 0.0626
Epoch 17 		Train Acc: 0.6505	Train loss: 0.1137	Test Acc: 0.6806	Test loss: 0.0611
Epoch 18 		Train Acc: 0.6671	Train loss: 0.0611	Test Acc: 0.6900	Test loss: 0.0593
