seed: 42, epochs: 2000, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, num_clients: 100, batch_size: 32, learning_rate: 0.01, model: simplecnn, dataset: MNIST, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, gpu_idx: [1], num_workers: 0, record_time: False, num_adv: 40, attack: TMRC, defense: Krum, attack_params: {'scaling_factor': 8.0, 'importance_ratio"': 0.5}, defense_params: {'enable_check': False}, benchmark: False, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:1, output: ./logs/FedSGD/MNIST_simplecnn/iid/MNIST_simplecnn_iid_TMRC_Krum_2000_100_0.01_FedSGD.txt

Started on Wed Dec 10 14:41:39 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  		Train Acc: 0.1191	Train loss: 0.0720	Test Acc: 0.1425	Test loss: 0.0719
Epoch 1  		Train Acc: 0.1306	Train loss: 0.0718	Test Acc: 0.2030	Test loss: 0.0716
Epoch 2  		Train Acc: 0.1922	Train loss: 0.0715	Test Acc: 0.2238	Test loss: 0.0711
Epoch 3  		Train Acc: 0.2197	Train loss: 0.0709	Test Acc: 0.2518	Test loss: 0.0705
Epoch 4  		Train Acc: 0.2441	Train loss: 0.0704	Test Acc: 0.2534	Test loss: 0.0698
Epoch 5  		Train Acc: 0.2500	Train loss: 0.0698	Test Acc: 0.3469	Test loss: 0.0692
Epoch 6  		Train Acc: 0.3416	Train loss: 0.0691	Test Acc: 0.3679	Test loss: 0.0685
Epoch 7  		Train Acc: 0.3700	Train loss: 0.0683	Test Acc: 0.3999	Test loss: 0.0677
Epoch 8  		Train Acc: 0.3853	Train loss: 0.0677	Test Acc: 0.4478	Test loss: 0.0666
Epoch 9  		Train Acc: 0.4378	Train loss: 0.0666	Test Acc: 0.4783	Test loss: 0.0655
Epoch 10 		Train Acc: 0.4706	Train loss: 0.0657	Test Acc: 0.4339	Test loss: 0.0642
Epoch 11 		Train Acc: 0.4334	Train loss: 0.0642	Test Acc: 0.4277	Test loss: 0.0628
Epoch 12 		Train Acc: 0.4216	Train loss: 0.0628	Test Acc: 0.4776	Test loss: 0.0610
Epoch 13 		Train Acc: 0.4834	Train loss: 0.0611	Test Acc: 0.5105	Test loss: 0.0591
Epoch 14 		Train Acc: 0.5088	Train loss: 0.0591	Test Acc: 0.5413	Test loss: 0.0568
Epoch 15 		Train Acc: 0.5425	Train loss: 0.0567	Test Acc: 0.5599	Test loss: 0.0544
Epoch 16 		Train Acc: 0.5572	Train loss: 0.0547	Test Acc: 0.6225	Test loss: 0.0516
Epoch 17 		Train Acc: 0.6006	Train loss: 0.0519	Test Acc: 0.6406	Test loss: 0.0484
Epoch 18 		Train Acc: 0.6398	Train loss: 0.0662	Test Acc: 0.6373	Test loss: 0.0452
