seed: 42, epochs: 2000, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, num_clients: 100, batch_size: 32, learning_rate: 0.01, model: simplecnn, dataset: MNIST, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, gpu_idx: [1], num_workers: 0, record_time: False, num_adv: 40, attack: TMRC, defense: Median, attack_params: {'scaling_factor': 8.0, 'importance_ratio"': 0.5}, defense_params: None, benchmark: False, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:1, output: ./logs/FedSGD/MNIST_simplecnn/iid/MNIST_simplecnn_iid_TMRC_Median_2000_100_0.01_FedSGD.txt

Started on Wed Dec 10 12:12:38 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  		Train Acc: 0.1191	Train loss: 0.0720	Test Acc: 0.1528	Test loss: 0.0719
Epoch 1  		Train Acc: 0.1375	Train loss: 0.0718	Test Acc: 0.1865	Test loss: 0.0716
Epoch 2  		Train Acc: 0.1762	Train loss: 0.0715	Test Acc: 0.2216	Test loss: 0.0711
Epoch 3  		Train Acc: 0.2172	Train loss: 0.0710	Test Acc: 0.2540	Test loss: 0.0706
Epoch 4  		Train Acc: 0.2503	Train loss: 0.0705	Test Acc: 0.2755	Test loss: 0.0699
Epoch 5  		Train Acc: 0.2684	Train loss: 0.0699	Test Acc: 0.2955	Test loss: 0.0692
Epoch 6  		Train Acc: 0.2925	Train loss: 0.0691	Test Acc: 0.3178	Test loss: 0.0685
Epoch 7  		Train Acc: 0.3175	Train loss: 0.0683	Test Acc: 0.3442	Test loss: 0.0677
Epoch 8  		Train Acc: 0.3491	Train loss: 0.0676	Test Acc: 0.3875	Test loss: 0.0667
Epoch 9  		Train Acc: 0.3741	Train loss: 0.0667	Test Acc: 0.4246	Test loss: 0.0656
Epoch 10 		Train Acc: 0.4131	Train loss: 0.0657	Test Acc: 0.4590	Test loss: 0.0644
Epoch 11 		Train Acc: 0.4534	Train loss: 0.0643	Test Acc: 0.4963	Test loss: 0.0629
Epoch 12 		Train Acc: 0.4884	Train loss: 0.0630	Test Acc: 0.5325	Test loss: 0.0612
Epoch 13 		Train Acc: 0.5331	Train loss: 0.0613	Test Acc: 0.5676	Test loss: 0.0593
Epoch 14 		Train Acc: 0.5672	Train loss: 0.0593	Test Acc: 0.5940	Test loss: 0.0570
Epoch 15 		Train Acc: 0.5909	Train loss: 0.0569	Test Acc: 0.6168	Test loss: 0.0545
Epoch 16 		Train Acc: 0.6188	Train loss: 0.0547	Test Acc: 0.6390	Test loss: 0.0517
Epoch 17 		Train Acc: 0.6144	Train loss: 0.0520	Test Acc: 0.6597	Test loss: 0.0485
Epoch 18 		Train Acc: 0.6652	Train loss: 0.0662	Test Acc: 0.6807	Test loss: 0.0451
Epoch 19 		Train Acc: 0.6672	Train loss: 0.0455	Test Acc: 0.7091	Test loss: 0.0415
Epoch 20 		Train Acc: 0.7103	Train loss: 0.0412	Test Acc: 0.7339	Test loss: 0.0378
Epoch 21 		Train Acc: 0.7266	Train loss: 0.0384	Test Acc: 0.7565	Test loss: 0.0341
Epoch 22 		Train Acc: 0.7369	Train loss: 0.0345	Test Acc: 0.7682	Test loss: 0.0307
Epoch 23 		Train Acc: 0.7622	Train loss: 0.0312	Test Acc: 0.7789	Test loss: 0.0277
Epoch 24 		Train Acc: 0.7772	Train loss: 0.0281	Test Acc: 0.7937	Test loss: 0.0250
Epoch 25 		Train Acc: 0.7934	Train loss: 0.0254	Test Acc: 0.7960	Test loss: 0.0228
Epoch 26 		Train Acc: 0.7837	Train loss: 0.0237	Test Acc: 0.7991	Test loss: 0.0210
Epoch 27 		Train Acc: 0.7853	Train loss: 0.0217	Test Acc: 0.8027	Test loss: 0.0197
Epoch 28 		Train Acc: 0.7906	Train loss: 0.0207	Test Acc: 0.8181	Test loss: 0.0186
Epoch 29 		Train Acc: 0.8078	Train loss: 0.0194	Test Acc: 0.8253	Test loss: 0.0175
Epoch 30 		Train Acc: 0.8175	Train loss: 0.0180	Test Acc: 0.8310	Test loss: 0.0169
Epoch 31 		Train Acc: 0.8256	Train loss: 0.0172	Test Acc: 0.8416	Test loss: 0.0160
Epoch 32 		Train Acc: 0.8447	Train loss: 0.0157	Test Acc: 0.8469	Test loss: 0.0157
Epoch 33 		Train Acc: 0.8381	Train loss: 0.0160	Test Acc: 0.8564	Test loss: 0.0151
Epoch 34 		Train Acc: 0.8522	Train loss: 0.0152	Test Acc: 0.8617	Test loss: 0.0146
Epoch 35 		Train Acc: 0.8469	Train loss: 0.0156	Test Acc: 0.8527	Test loss: 0.0149
Epoch 36 		Train Acc: 0.8497	Train loss: 0.0152	Test Acc: 0.8576	Test loss: 0.0147
Epoch 37 		Train Acc: 0.8380	Train loss: 0.0219	Test Acc: 0.8701	Test loss: 0.0137
Epoch 38 		Train Acc: 0.8628	Train loss: 0.0141	Test Acc: 0.8516	Test loss: 0.0147
Epoch 39 		Train Acc: 0.8494	Train loss: 0.0154	Test Acc: 0.8667	Test loss: 0.0142
Epoch 40 		Train Acc: 0.8550	Train loss: 0.0149	Test Acc: 0.8856	Test loss: 0.0127
Epoch 41 		Train Acc: 0.8878	Train loss: 0.0129	Test Acc: 0.8684	Test loss: 0.0136
Epoch 42 		Train Acc: 0.8644	Train loss: 0.0144	Test Acc: 0.8644	Test loss: 0.0141
Epoch 43 		Train Acc: 0.8659	Train loss: 0.0139	Test Acc: 0.8822	Test loss: 0.0125
Epoch 44 		Train Acc: 0.8759	Train loss: 0.0128	Test Acc: 0.8882	Test loss: 0.0120
Epoch 45 		Train Acc: 0.8800	Train loss: 0.0137	Test Acc: 0.8819	Test loss: 0.0127
Epoch 46 		Train Acc: 0.8803	Train loss: 0.0132	Test Acc: 0.8876	Test loss: 0.0119
Epoch 47 		Train Acc: 0.8838	Train loss: 0.0114	Test Acc: 0.8926	Test loss: 0.0117
Epoch 48 		Train Acc: 0.8944	Train loss: 0.0113	Test Acc: 0.8924	Test loss: 0.0116
Epoch 49 		Train Acc: 0.8791	Train loss: 0.0123	Test Acc: 0.8885	Test loss: 0.0116
Epoch 50 		Train Acc: 0.8875	Train loss: 0.0121	Test Acc: 0.8998	Test loss: 0.0108
Epoch 51 		Train Acc: 0.8875	Train loss: 0.0119	Test Acc: 0.8957	Test loss: 0.0115
Epoch 52 		Train Acc: 0.8791	Train loss: 0.0125	Test Acc: 0.8981	Test loss: 0.0107
Epoch 53 		Train Acc: 0.8906	Train loss: 0.0109	Test Acc: 0.9028	Test loss: 0.0104
Epoch 54 		Train Acc: 0.9022	Train loss: 0.0110	Test Acc: 0.9082	Test loss: 0.0101
Epoch 55 		Train Acc: 0.9009	Train loss: 0.0110	Test Acc: 0.9093	Test loss: 0.0099
Epoch 56 		Train Acc: 0.8980	Train loss: 0.0150	Test Acc: 0.8998	Test loss: 0.0103
Epoch 57 		Train Acc: 0.8956	Train loss: 0.0108	Test Acc: 0.9077	Test loss: 0.0099
Epoch 58 		Train Acc: 0.8991	Train loss: 0.0102	Test Acc: 0.9091	Test loss: 0.0099
Epoch 59 		Train Acc: 0.9047	Train loss: 0.0103	Test Acc: 0.9079	Test loss: 0.0097
Epoch 60 		Train Acc: 0.8959	Train loss: 0.0107	Test Acc: 0.9107	Test loss: 0.0095
Epoch 61 		Train Acc: 0.9059	Train loss: 0.0100	Test Acc: 0.9156	Test loss: 0.0091
Epoch 62 		Train Acc: 0.9103	Train loss: 0.0095	Test Acc: 0.9142	Test loss: 0.0091
Epoch 63 		Train Acc: 0.9031	Train loss: 0.0104	Test Acc: 0.9164	Test loss: 0.0089
Epoch 64 		Train Acc: 0.8969	Train loss: 0.0105	Test Acc: 0.9170	Test loss: 0.0090
Epoch 65 		Train Acc: 0.9109	Train loss: 0.0097	Test Acc: 0.9184	Test loss: 0.0088
Epoch 66 		Train Acc: 0.9137	Train loss: 0.0083	Test Acc: 0.9169	Test loss: 0.0089
