seed: 42, epochs: 2000, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, num_clients: 100, batch_size: 32, learning_rate: 0.01, model: simplecnn, dataset: MNIST, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, gpu_idx: [1], num_workers: 0, record_time: False, num_adv: 40, attack: TMRC, defense: TrimmedMean, attack_params: {'scaling_factor': 8.0, 'importance_ratio"': 0.5}, defense_params: {'beta': 0.1}, benchmark: False, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:1, output: ./logs/FedSGD/MNIST_simplecnn/iid/MNIST_simplecnn_iid_TMRC_TrimmedMean_2000_100_0.01_FedSGD.txt

Started on Wed Dec 10 14:40:27 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  		Train Acc: 0.1191	Train loss: 0.0720	Test Acc: 0.1534	Test loss: 0.0719
Epoch 1  		Train Acc: 0.1391	Train loss: 0.0718	Test Acc: 0.1839	Test loss: 0.0717
Epoch 2  		Train Acc: 0.1706	Train loss: 0.0715	Test Acc: 0.1871	Test loss: 0.0715
Epoch 3  		Train Acc: 0.1775	Train loss: 0.0713	Test Acc: 0.2192	Test loss: 0.0711
Epoch 4  		Train Acc: 0.2147	Train loss: 0.0709	Test Acc: 0.2047	Test loss: 0.0716
Epoch 5  		Train Acc: 0.1966	Train loss: 0.0714	Test Acc: 0.1924	Test loss: 0.0705
Epoch 6  		Train Acc: 0.1903	Train loss: 0.0705	Test Acc: 0.0238	Test loss: 0.1279
Epoch 7  		Train Acc: 0.0322	Train loss: 0.1284	Test Acc: 0.1595	Test loss: 1.7409
Epoch 8  		Train Acc: 0.1497	Train loss: 1.7193	Test Acc: 0.1100	Test loss: 586.5829
Epoch 9  		Train Acc: 0.1069	Train loss: 598.0052	Test Acc: 0.0958	Test loss: 1329634.5406
Epoch 10 		Train Acc: 0.0950	Train loss: 1319756.3162	Test Acc: 0.0974	Test loss: 13672418910.2080
Epoch 11 		Train Acc: 0.0853	Train loss: 12688644618.2400	Test Acc: 0.0982	Test loss: 16439727214414710964224.0000
Epoch 12 		Train Acc: 0.0869	Train loss: 16854030826434736422912.0000	Test Acc: 0.0974	Test loss: nan
Epoch 13 		Train Acc: 0.0912	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 14 		Train Acc: 0.1006	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 15 		Train Acc: 0.0997	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 16 		Train Acc: 0.0969	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 17 		Train Acc: 0.1013	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 18 		Train Acc: 0.1079	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 19 		Train Acc: 0.0972	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 20 		Train Acc: 0.1097	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 21 		Train Acc: 0.0984	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 22 		Train Acc: 0.0950	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 23 		Train Acc: 0.0956	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 24 		Train Acc: 0.1041	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 25 		Train Acc: 0.0919	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 26 		Train Acc: 0.0991	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 27 		Train Acc: 0.1013	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 28 		Train Acc: 0.0891	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 29 		Train Acc: 0.0928	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 30 		Train Acc: 0.1031	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 31 		Train Acc: 0.0966	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 32 		Train Acc: 0.1044	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 33 		Train Acc: 0.0984	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 34 		Train Acc: 0.1000	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 35 		Train Acc: 0.0972	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 36 		Train Acc: 0.0922	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 37 		Train Acc: 0.1149	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 38 		Train Acc: 0.1044	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 39 		Train Acc: 0.1016	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 40 		Train Acc: 0.0878	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 41 		Train Acc: 0.0991	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 42 		Train Acc: 0.1081	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 43 		Train Acc: 0.0991	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 44 		Train Acc: 0.0975	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 45 		Train Acc: 0.0953	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 46 		Train Acc: 0.0981	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 47 		Train Acc: 0.1019	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 48 		Train Acc: 0.0944	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 49 		Train Acc: 0.0975	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 50 		Train Acc: 0.1041	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 51 		Train Acc: 0.0988	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 52 		Train Acc: 0.0912	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 53 		Train Acc: 0.0966	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 54 		Train Acc: 0.1031	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 55 		Train Acc: 0.1041	Train loss: nan	Test Acc: 0.0980	Test loss: nan
